"player_id","player_name","avg_pts","avg_ast","avg_oreb","avg_dreb","avg_stl","avg_blk","avg_tov","avg_fgm","avg_fga","avg_tpm","avg_play_time","team_name","position"
337,"戈登-海沃德",24.09,3.36,0.64,5.27,0.91,0.27,2.18,7.55,17.09,2.55,37,"爵士",2.5
340,"谢尔文-麦克",6,2,0.33,2.44,0.44,0,1,1.89,5.44,0.78,18,"爵士",1
341,"杰夫-威西",1.67,0.33,1,0.33,0.33,0.33,0,0.67,1.33,0,6,"爵士",5
342,"特雷-伯克",0,1.67,0,0,0,0,0,0,1.33,0,7,"奇才",1
343,"鲁迪-戈贝尔",11.56,1.22,2.44,7.44,1,1.44,1,4.44,7,0,31,"爵士",5
344,"丹特-埃克萨姆",4.57,1.29,0.29,0.57,0.71,0,0.43,1.57,3.86,0.57,12,"爵士",1.5
345,"罗德尼-胡德",8.91,1.09,0.09,2.73,0.45,0,1,3.36,9.55,1.18,26,"爵士",2
346,"乔-英格尔斯",6.45,3.27,0.18,3.64,2,0.45,1.45,2.27,5.64,1.36,30,"爵士",3
347,"特雷-莱尔斯",3.5,0.5,0,1,0.5,0,0.5,1.5,3.5,0.5,5,"爵士",4
348,"劳尔-内托",2.56,0.44,0,0.78,0.11,0.11,0.33,0.89,1.44,0.33,7,"爵士",1
350,"托里恩-普林斯",11.17,1.5,1.17,4.17,0.33,0.33,1.17,4.83,8.67,0.67,29,"老鹰",3
352,"乔尔-博伦博伊",2,0,0,1,0,0.5,0,1,1.5,0,5,"爵士",4
354,"扎克-兰多夫",13.17,0.67,1.5,6.67,0.83,0.33,1.33,5.83,13.83,0.17,28,"灰熊",4.5
356,"文斯-卡特",9.17,1.5,0.67,2.67,0.33,0,1.67,3.33,7,1.33,29,"灰熊",2.5
357,"布兰登-赖特",2,0,0.5,0.5,0,1,0.5,1,2.5,0,11,"灰熊",4.5
358,"马克-加索尔",19.33,4.17,1.17,5.33,0.33,0.67,2.33,6.5,13.83,1.17,36,"灰熊",5
359,"杰迈克尔-格林",7.33,0.33,0.5,2.83,0,0.17,0.67,2.83,6,1.17,21,"灰熊",4
361,"贾雷尔-马丁",0.67,0,0.67,0.33,0.33,0,0,0.33,1,0,6,"灰熊",4
363,"德扬泰-戴维斯",2.33,0,0.67,1.33,0,0,0,1,1.67,0,6,"灰熊",4
364,"韦德-鲍德温",0.67,0.67,0.33,1,0,0,0,0,0.33,0,8,"灰熊",1
367,"凯尔-洛瑞",15.75,5.88,0.38,2.75,1.5,0.5,2.12,5.38,11.62,1.62,38,"猛龙",1
368,"德马雷-卡罗尔",4.2,0.5,0.4,2.3,0.8,0.6,0.5,1.5,3.7,0.7,15,"猛龙",3.5
369,"帕特里克-帕特森",3.4,1.9,0.1,1.9,0.8,0.2,0.6,1,3.6,0.8,18,"猛龙",4
370,"约纳斯-瓦兰丘纳斯",11.2,0.2,0.9,5.8,0.2,0.6,1.3,4.4,8.1,0,23,"猛龙",5
371,"科里-约瑟夫",7.9,3.1,0.4,1.7,0.3,0.2,1.4,3.1,7.1,0.9,21,"猛龙",1.5
